Year,PLAYER,Player ID,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,TD,Model Pred,Var
2023,Tyreek Hill (MIA),1,16,119,1799,15.1,1146,9.6,1847,15.5,653,5.5,85,0.7,12,171,0.311,131,12,24,64,29,14,9,5,78,13,13.8008,0.8008
2023,CeeDee Lamb (DAL),2,17,135,1749,13,1073,7.9,1726,12.8,676,5,207,1.5,11,181,0.299,143,6,31,73,29,8,3,1,92,12,12.5485,0.5485
2023,Amon-Ra St. Brown (DET),3,16,119,1515,12.7,847,7.1,1297,10.9,668,5.6,159,1.3,10,164,0.286,127,8,23,60,24,6,3,1,70,10,9.8599,-0.1401
2023,Puka Nacua (LAR),4,17,105,1486,14.2,854,8.1,1453,13.8,632,6,233,2.2,7,160,0.288,117,13,16,59,25,10,3,2,80,6,8.6911,2.6911
2023,A.J. Brown (PHI),5,17,106,1456,13.7,983,9.3,1852,17.5,473,4.5,215,2,9,158,0.301,111,7,15,62,21,9,3,1,59,7,8.2654,1.2654
2023,DJ Moore (CHI),6,17,96,1364,14.2,825,8.6,1479,15.4,539,5.6,166,1.7,9,136,0.285,100,4,11,53,25,12,2,2,58,8,8.2435,0.2435
2023,Brandon Aiyuk (SF),7,16,75,1342,17.9,960,12.8,1448,19.3,382,5.1,94,1.3,2,105,0.223,77,2,9,58,28,10,3,1,76,7,8.7926,1.7926
2023,Nico Collins (HOU),8,15,80,1297,16.2,750,9.4,1189,14.9,547,6.8,255,3.2,16,109,0.193,82,2,15,48,25,7,5,4,75,8,9.1746,1.1746
2023,Mike Evans (TB),9,17,79,1255,15.9,933,11.8,1899,24,322,4.1,76,1,2,136,0.247,86,7,14,46,20,10,6,3,75,13,8.3588,-4.6412
2023,Amari Cooper (CLE),10,15,72,1250,17.4,979,13.6,1811,25.2,271,3.8,68,0.9,2,128,0.214,79,7,13,47,21,8,8,5,75,5,8.5896,3.5896
2023,Keenan Allen (CHI),11,13,108,1243,11.5,847,7.8,1446,13.4,396,3.7,83,0.8,5,150,0.244,114,5,12,47,19,4,1,0,42,7,6.396,-0.604
2023,Ja'Marr Chase (CIN),12,16,100,1216,12.2,675,6.8,1220,12.2,541,5.4,123,1.2,6,145,0.245,105,5,19,48,14,7,4,3,76,7,7.208,0.208
2023,Stefon Diggs (HOU),13,17,107,1183,11.1,784,7.3,1653,15.4,399,3.7,163,1.5,10,160,0.294,115,8,15,50,10,6,2,1,55,8,5.86265,-2.13735
2023,Michael Pittman Jr. (IND),14,16,109,1152,10.6,639,5.9,1232,11.3,513,4.7,153,1.4,3,156,0.286,113,3,19,42,10,6,3,1,75,4,5.8021,1.8021
2023,Davante Adams (LV),15,17,103,1144,11.1,808,7.8,1900,18.4,336,3.3,74,0.7,2,175,0.33,111,8,29,47,13,4,2,0,46,8,8.44,0.44
2023,George Pickens (PIT),16,17,63,1140,18.1,747,11.9,1423,22.6,393,6.2,108,1.7,5,106,0.219,65,2,8,42,22,11,6,3,86,5,7.0811,2.0811
2023,Chris Olave (NO),17,16,87,1123,12.9,776,8.9,1834,21.1,347,4,59,0.7,3,138,0.238,93,6,11,45,16,5,3,1,51,5,5.7284,0.7284
2023,DK Metcalf (SEA),18,16,66,1114,16.9,747,11.3,1525,23.1,367,5.6,116,1.8,6,119,0.218,74,7,23,43,19,11,4,3,73,8,9.7183,1.7183
2023,Justin Jefferson (MIN),19,10,68,1074,15.8,814,12,1258,18.5,260,3.8,92,1.4,2,100,0.165,72,1,11,42,25,7,2,1,52,5,7.3792,2.3792
2023,DeVonta Smith (PHI),20,16,81,1066,13.2,772,9.5,1350,16.7,294,3.6,55,0.7,4,112,0.213,87,5,6,43,14,8,3,2,63,7,5.69,-1.31
2023,DeAndre Hopkins (TEN),21,17,75,1057,14.1,834,11.1,1928,25.7,223,3,61,0.8,4,137,0.287,80,4,17,41,15,7,4,1,61,7,7.42,0.42
2023,Garrett Wilson (NYJ),22,17,95,1042,11,715,7.5,1681,17.7,327,3.4,141,1.5,10,168,0.298,103,7,17,38,11,7,2,1,68,3,5.666,2.666
2023,Chris Godwin (TB),23,17,83,1024,12.3,639,7.7,1169,14.1,385,4.6,55,0.7,2,130,0.236,88,5,16,43,14,6,2,0,47,2,5.96,3.96
2023,Calvin Ridley (TEN),24,17,76,1016,13.4,822,10.8,1797,23.6,194,2.6,39,0.5,1,136,0.224,82,6,26,43,17,5,2,1,59,8,9.039,1.039
2023,Adam Thielen (CAR),25,17,103,1014,9.8,669,6.5,1029,10,345,3.3,66,0.6,2,137,0.257,110,7,14,40,9,3,0,0,32,4,5.4,1.4
2023,Jaylen Waddle (MIA),26,14,72,1014,14.1,593,8.2,1053,14.6,421,5.8,76,1.1,7,104,0.189,76,4,8,49,12,6,2,2,60,4,4.85,0.85
2023,Terry McLaurin (WAS),27,17,79,1002,12.7,652,8.3,1508,19.1,350,4.4,103,1.3,4,132,0.22,84,5,8,41,15,6,2,0,48,5,3.97,-1.03
2023,Rashee Rice (KC),28,16,79,938,11.9,285,3.6,492,6.2,653,8.3,134,1.7,3,102,0.17,87,8,22,36,10,4,1,1,67,7,6.36,-0.64
2023,Jordan Addison (MIN),29,17,70,911,13,649,9.3,1347,19.2,262,3.7,76,1.1,4,108,0.178,73,3,15,36,15,6,3,2,62,10,6.55,-3.45
2023,Drake London (ATL),30,16,69,905,13.1,721,10.4,1273,18.4,184,2.7,63,0.9,2,110,0.217,73,4,16,38,17,3,1,0,45,2,7.047,5.047
2023,Tyler Lockett (SEA),31,17,79,894,11.3,674,8.5,1312,16.6,220,2.8,16,0.2,1,122,0.223,84,5,12,39,9,4,0,0,37,5,4.916,-0.084
2023,Deebo Samuel Sr. (SF),32,15,60,892,14.9,365,6.1,588,9.8,527,8.8,173,2.9,12,89,0.189,63,2,17,32,15,8,6,1,54,7,6.299,-0.701
2023,Zay Flowers (BAL),33,16,77,858,11.1,467,6.1,911,11.8,391,5.1,55,0.7,9,108,0.227,82,4,13,31,12,5,4,2,75,5,5.799,0.799
2023,Jakobi Meyers (LV),34,16,71,807,11.4,565,8,1028,14.5,242,3.4,55,0.8,6,106,0.2,73,2,15,38,8,2,0,0,33,8,5.128,-2.872
2023,Jayden Reed (GB),35,16,64,793,12.4,458,7.2,970,15.2,335,5.2,73,1.1,3,94,0.168,67,3,14,29,13,10,3,1,59,8,5.6287,-2.3713
2023,Christian Kirk (JAC),36,12,57,787,13.8,540,9.5,842,14.8,247,4.3,29,0.5,3,85,0.14,61,4,5,29,13,6,3,1,57,3,4.26,1.26
2023,Courtland Sutton (DEN),37,16,59,772,13.1,616,10.4,1060,18,156,2.6,41,0.7,0,90,0.189,65,6,17,32,14,7,2,0,46,10,7.14,-2.86
2023,Josh Downs (IND),38,17,68,771,11.3,400,5.9,703,10.3,371,5.5,62,0.9,2,98,0.179,73,5,9,28,10,5,2,2,59,2,4.076,2.076
2023,Darius Slayton (NYG),39,17,50,770,15.4,472,9.4,960,19.2,298,6,70,1.4,5,79,0.163,53,3,4,26,11,6,3,2,80,4,4.2,0.2
2023,Jerry Jeudy (CLE),40,16,54,758,14,435,8.1,1109,20.5,323,6,78,1.4,4,87,0.182,56,2,10,29,10,6,5,0,47,2,4.04,2.04
2023,Gabe Davis (JAC),41,17,45,746,16.6,566,12.6,1231,27.4,180,4,42,0.9,1,81,0.149,48,3,11,27,12,6,2,1,57,7,5.57,-1.43
2023,Cooper Kupp (LAR),42,12,59,737,12.5,415,7,789,13.4,322,5.5,92,1.6,5,95,0.171,63,4,18,24,10,7,2,1,62,5,6.115,1.115
2023,Rashid Shaheed (NO),43,16,46,719,15.6,568,12.3,1094,23.8,151,3.3,26,0.6,3,75,0.13,48,2,7,23,12,9,7,3,58,5,5.09,0.09
2023,Diontae Johnson (CAR),44,13,51,717,14.1,456,8.9,1115,21.9,261,5.1,67,1.3,4,87,0.18,54,2,10,27,10,5,2,1,71,5,4.527,-0.473
2023,Tank Dell (HOU),45,11,47,709,15.1,557,11.9,1070,22.8,152,3.2,25,0.5,0,75,0.133,51,4,8,28,10,3,3,1,68,7,4.6412,-2.3588
2023,Romeo Doubs (GB),46,17,59,674,11.4,540,9.2,1126,19.1,134,2.3,33,0.6,1,96,0.171,64,6,18,31,7,3,0,0,36,8,5.75,-2.25
2023,Tyler Boyd (CIN),47,17,67,667,10,388,5.8,637,9.5,279,4.2,108,1.6,2,98,0.166,72,5,7,23,6,3,2,1,64,2,2.55,0.55
2023,Brandin Cooks (DAL),48,16,54,657,12.2,532,9.9,1070,19.8,125,2.3,42,0.8,0,81,0.134,57,3,12,23,11,5,0,0,37,8,5.22,-2.78
2023,Tee Higgins (CIN),49,12,42,656,15.6,421,10,973,23.2,235,5.6,24,0.6,0,76,0.128,49,7,9,30,8,3,2,1,80,5,3.89,-1.11
2023,Elijah Moore (CLE),50,17,59,640,10.8,449,7.6,1143,19.4,191,3.2,38,0.6,4,104,0.174,64,5,13,27,9,3,1,0,42,2,4,2
2023,Jaxon Smith-Njigba (SEA),51,17,63,628,10,262,4.2,569,9,366,5.8,55,0.9,3,93,0.17,72,10,10,27,7,3,0,0,35,4,3.11,-0.89
2023,Curtis Samuel (BUF),52,16,62,613,9.9,353,5.7,599,9.7,260,4.2,59,1,4,91,0.151,64,2,15,21,7,4,0,0,37,4,4.39,0.39
2023,Khalil Shakir (BUF),53,17,39,611,15.7,329,8.4,402,10.3,282,7.2,51,1.3,0,45,0.083,39,0,2,25,10,4,2,1,81,2,2.88,0.88
2023,Josh Reynolds (DEN),54,17,40,608,15.2,435,10.9,645,16.1,173,4.3,51,1.3,2,64,0.111,44,4,10,26,17,1,0,0,33,5,5.04,0.04
2023,Dontayvion Wicks (GB),55,15,39,581,14.9,369,9.5,586,15,211,5.4,101,2.6,5,58,0.103,42,3,8,26,11,3,0,0,35,4,3.9,-0.1
2023,Joshua Palmer (LAC),56,11,38,581,15.3,385,10.1,693,18.2,196,5.2,22,0.6,1,61,0.099,42,3,9,16,9,4,3,3,79,2,4.77,2.77
2023,Marquise Brown (KC),57,14,51,574,11.3,410,8,1199,23.5,164,3.2,28,0.5,2,101,0.187,55,4,9,26,8,2,1,0,41,4,2.65,-1.35
2023,Noah Brown (HOU),58,10,33,567,17.2,344,10.4,658,19.9,223,6.8,59,1.8,1,55,0.097,36,3,7,19,14,6,1,1,75,2,4.4,2.4
2023,Michael Wilson (ARI),59,13,38,565,14.9,426,11.2,716,18.8,139,3.7,37,1,3,58,0.107,38,0,7,26,7,2,1,1,69,3,3.6,0.6
2023,Odell Beckham Jr. (FA),60,14,35,565,16.1,410,11.7,888,25.4,155,4.4,35,1,1,64,0.134,38,3,11,22,10,5,3,1,51,3,4.7,1.7
2023,DeMario Douglas (NE),61,14,49,561,11.4,225,4.6,648,13.2,336,6.9,46,0.9,1,79,0.146,50,1,4,26,6,3,2,0,42,0,0.86,0.86
2023,K.J. Osborn (NE),62,16,48,540,10.7,343,7.1,659,13.7,171,3.6,21,0.4,1,75,0.124,53,5,10,23,6,3,1,0,47,3,3.5,0.5
2023,DJ Chark Jr. (CAR),63,15,35,525,15,441,12.6,1016,29,84,2.4,27,0.8,1,66,0.124,38,4,6,23,9,3,2,0,47,5,3.32,-1.68
2023,Wan'Dale Robinson (NYG),64,15,60,525,8.8,238,4,410,6.8,287,4.8,80,1.3,5,78,0.161,63,3,2,20,7,2,0,0,33,1,1.3,0.3
2023,Jahan Dotson (WAS),65,17,49,518,10.6,403,8.2,774,15.8,115,2.3,24,0.5,0,83,0.138,53,5,11,24,5,1,0,0,33,4,3.27,-0.73
2023,Alec Pierce (IND),66,17,32,514,16.1,417,13,969,30.3,97,3,25,0.8,1,65,0.119,35,3,6,19,8,5,2,2,58,2,3.588,1.588
2023,Kalif Raymond (DET),67,17,35,489,14,275,7.9,388,11.1,214,6.1,26,0.7,1,44,0.077,37,2,4,23,9,3,2,0,41,1,2.47,1.47
2023,Tutu Atwell (LAR),68,16,39,483,12.4,379,9.7,767,19.7,104,2.7,12,0.3,0,67,0.121,43,4,5,20,8,5,2,0,44,3,2.66,-0.34
2023,Justin Watson (KC),69,16,27,460,17,413,15.3,928,34.4,47,1.7,5,0.2,0,53,0.088,30,4,6,19,8,5,1,0,41,3,3.5,0.5
2023,Michael Thomas (NO),70,10,39,448,11.5,348,8.9,650,16.7,100,2.6,30,0.8,2,64,0.111,42,3,9,18,4,1,0,0,31,1,3,2
2023,Quentin Johnston (LAC),71,17,38,431,11.3,279,7.3,861,22.7,152,4,31,0.8,2,67,0.109,41,3,8,17,5,1,1,1,57,2,2.5,0.5
2023,Robert Woods (HOU),72,14,40,426,10.7,300,7.5,732,18.3,126,3.2,26,0.7,1,75,0.133,44,4,10,20,2,0,0,0,26,1,2.2,1.2
2023,Chris Moore (ARI),73,17,22,424,19.3,367,16.7,641,29.1,57,2.6,19,0.9,1,35,0.073,25,2,1,15,9,5,3,0,49,0,,
2023,Christian Watson (GB),74,9,28,422,15.1,317,11.3,825,29.5,105,3.8,19,0.7,0,53,0.094,31,3,13,14,5,3,2,2,77,5,,
2023,Michael Gallup (FA),75,17,34,418,12.3,314,9.2,624,18.4,104,3.1,39,1.1,3,57,0.094,39,5,4,15,6,2,1,0,41,2,,
2023,Jonathan Mingo (CAR),76,15,43,418,9.7,263,6.1,921,21.4,155,3.6,53,1.2,1,85,0.159,47,4,3,16,6,2,1,0,40,0,,
2023,Darnell Mooney (ATL),77,15,31,414,13.4,233,7.5,630,20.3,181,5.8,22,0.7,1,61,0.128,33,3,7,17,7,3,1,0,41,1,,
2023,Kendrick Bourne (NE),78,8,37,406,11,203,5.5,574,15.5,203,5.5,67,1.8,2,55,0.102,38,1,6,14,5,2,0,0,36,4,,
2023,DeVante Parker (PHI),79,13,33,394,11.9,268,8.1,640,19.4,126,3.8,28,0.8,2,55,0.102,36,3,0,18,6,1,0,0,30,0,,
2023,Trey Palmer (TB),80,17,39,385,9.9,282,7.2,741,19,103,2.6,23,0.6,0,68,0.124,43,4,3,14,6,1,1,1,54,3,,
2023,Nelson Agholor (BAL),81,17,35,381,10.9,240,6.9,418,11.9,141,4,37,1.1,2,45,0.095,37,2,7,18,4,2,0,0,37,4,,
2023,Marvin Mims Jr. (DEN),82,16,22,377,17.1,223,10.1,497,22.6,154,7,22,1,1,33,0.069,23,1,1,8,6,6,4,2,60,1,,
2023,Jalin Hyatt (NYG),83,17,23,373,16.2,325,14.1,841,36.6,48,2.1,7,0.3,1,40,0.082,26,3,0,11,7,5,3,1,58,0,,
2023,Demarcus Robinson (LAR),84,13,26,371,14.3,282,10.8,478,18.4,89,3.4,18,0.7,0,39,0.07,26,0,9,15,7,3,0,0,37,4,,
2023,Nick Westbrook-Ikhine (TEN),85,14,28,370,13.2,263,9.4,552,19.7,107,3.8,20,0.7,1,45,0.094,32,4,6,13,8,2,0,0,33,3,,
2023,Rashod Bateman (BAL),86,16,32,367,11.5,310,9.7,813,25.4,57,1.8,18,0.6,1,56,0.118,36,4,3,17,2,0,0,0,29,1,,
2023,Jameson Williams (DET),87,12,24,354,14.8,250,10.4,670,27.9,104,4.3,53,2.2,5,42,0.073,28,4,2,14,5,4,2,1,63,2,,
2023,Rondale Moore (ATL),88,17,40,352,8.8,136,3.4,322,8.1,216,5.4,30,0.8,2,62,0.115,43,3,5,13,4,2,1,0,48,1,,
2023,Tre Tucker (LV),89,16,19,331,17.4,303,15.9,630,33.2,28,1.5,5,0.3,0,34,0.064,19,1,3,12,6,4,3,1,50,2,,
2023,Brandon Powell (MIN),90,17,29,324,11.2,220,7.6,332,11.4,104,3.6,34,1.2,1,44,0.073,30,1,6,13,6,0,0,0,28,1,,
2023,Zay Jones (JAC),91,9,34,321,9.4,270,7.9,871,25.6,51,1.5,7,0.2,0,64,0.105,36,1,10,12,3,1,0,0,36,2,,
2023,Trenton Irwin (CIN),92,16,25,316,12.6,206,8.2,337,13.5,110,4.4,21,0.8,0,32,0.054,25,1,6,13,7,1,0,0,32,1,,
2023,Marquez Valdes-Scantling (FA),93,16,21,315,15,223,10.6,742,35.3,92,4.4,5,0.2,1,42,0.07,24,3,3,13,5,3,1,0,46,1,,
2023,Allen Lazard (NYJ),94,14,23,311,13.5,255,11.1,597,26,56,2.4,19,0.8,1,49,0.087,27,4,2,16,5,1,0,0,39,1,,
2023,Cedrick Wilson Jr. (NO),95,15,22,296,13.5,239,10.9,429,19.5,57,2.6,21,1,0,38,0.069,23,1,5,13,5,1,0,0,31,3,,
2023,Brandon Johnson (DEN),96,13,19,284,14.9,195,10.3,328,17.3,89,4.7,18,0.9,2,30,0.063,20,1,6,11,6,2,1,1,50,4,,
2023,Greg Dortch (ARI),97,16,24,280,11.7,128,5.3,390,16.3,152,6.3,64,2.7,1,41,0.076,24,0,3,11,3,3,0,0,38,2,,
2023,Allen Robinson II (FA),98,17,34,280,8.2,212,6.2,370,10.9,68,2,18,0.5,0,49,0.101,35,0,4,11,2,1,0,0,31,0,,
2023,Jalen Tolbert (DAL),99,17,22,268,12.2,234,10.6,474,21.5,34,1.5,11,0.5,1,36,0.06,23,1,4,9,3,3,1,0,45,2,,
2023,Jauan Jennings (SF),100,13,19,265,13.9,176,9.3,340,17.9,89,4.7,36,1.9,2,33,0.07,21,0,2,10,4,1,0,0,31,1,,
2023,JuJu Smith-Schuster (NE),101,11,29,260,9,166,5.7,331,11.4,94,3.2,14,0.5,0,47,0.087,32,2,2,10,3,1,0,0,37,1,,
2023,Hunter Renfrow (FA),102,17,25,255,10.2,103,4.1,207,8.3,152,6.1,37,1.5,2,37,0.07,26,1,3,9,3,2,0,0,38,0,,
2023,Mack Hollins (BUF),103,13,18,251,13.9,196,10.9,370,20.6,55,3.1,10,0.6,0,30,0.059,20,2,2,10,3,1,1,0,45,0,,
2023,Mike Williams (NYJ),104,3,19,249,13.1,141,7.4,307,16.2,108,5.7,31,1.6,1,26,0.042,21,0,2,10,4,2,1,0,49,1,,
2023,A.T. Perry (NO),105,10,12,246,20.5,226,18.8,293,24.4,20,1.7,6,0.5,0,18,0.031,13,1,4,9,5,3,1,0,44,4,,
2023,Skyy Moore (KC),106,14,21,244,11.6,135,6.4,339,16.1,109,5.2,25,1.2,0,38,0.063,22,1,7,10,3,1,1,1,54,1,,
2023,Braxton Berrios (MIA),107,16,27,238,8.8,153,5.7,234,8.7,85,3.1,10,0.4,1,33,0.06,28,1,1,13,1,0,0,0,22,1,,
2023,Alex Erickson (LAC),108,8,16,232,14.5,174,10.9,305,19.1,58,3.6,6,0.4,0,29,0.047,17,1,2,11,4,0,0,0,27,1,,
2023,KhaDarel Hodge (ATL),109,17,14,232,16.6,150,10.7,331,23.6,82,5.9,50,3.6,1,23,0.045,14,0,0,10,3,2,1,1,52,0,,
2023,Isaiah Hodgins (NYG),110,17,21,230,11,155,7.4,263,12.5,75,3.6,19,0.9,1,33,0.068,21,0,5,12,1,0,0,0,24,3,,
2023,Xavier Gipson (NYJ),111,17,21,229,10.9,120,5.7,358,17,109,5.2,21,1,3,38,0.067,22,1,5,8,4,1,0,0,36,0,,
2023,Jamal Agnew (JAC),112,11,14,225,16.1,149,10.6,253,18.1,76,5.4,8,0.6,0,21,0.035,14,0,2,8,2,2,2,1,65,1,,
2023,Cedric Tillman (CLE),113,14,21,224,10.7,136,6.5,468,22.3,88,4.2,32,1.5,2,44,0.074,22,1,7,10,1,0,0,0,23,0,,
2023,Treylon Burks (TEN),114,11,16,221,13.8,150,9.4,547,34.2,71,4.4,16,1,1,30,0.063,19,3,1,7,4,2,1,1,70,0,,
